image	bicycle	bird	bottle	car	chair	diningtable	dog	person	pottedplant	sofa	
00010084	0.549724	0.798058	0.342686	0.033935	0.751684	0.097785	0.930386	0.125768	0.730708	0.619540	
00010085	0.917194	0.220448	0.238306	0.728014	0.027190	0.208485	0.404006	0.659911	0.623827	0.695253	
00010086	0.285839	0.857891	0.984564	0.621376	0.744100	0.086949	0.289149	0.076321	0.999680	0.370177	
00010087	0.757200	0.904729	0.846598	0.125795	0.336756	0.865738	0.768709	0.430887	0.866165	0.379207	
00010088	0.753729	0.292020	0.794512	0.215456	0.801352	0.024588	0.943880	0.942349	0.061829	0.349249	
00010089	0.380446	0.725870	0.900278	0.308377	0.166903	0.251565	0.279397	0.603568	0.177114	0.769117	
00010090	0.567822	0.339446	0.780105	0.030952	0.636688	0.615623	0.371130	0.062337	0.752996	0.109799	
00010091	0.075854	0.272681	0.836511	0.201455	0.143242	0.468386	0.273215	0.260738	0.006013	0.667176	
00010092	0.053950	0.170275	0.321093	0.067430	0.820112	0.738356	0.473539	0.704919	0.748460	0.907067	
00010093	0.530798	0.664018	0.742746	0.000152	0.178481	0.195218	0.960544	0.948980	0.709497	0.796921	
00010094	0.779167	0.535852	0.664494	0.636429	0.179376	0.548258	0.101757	0.325316	0.310462	0.207392	
00010095	0.934011	0.829109	0.289184	0.802754	0.151676	0.459119	0.540645	0.414222	0.972411	0.563767	
00010096	0.129906	0.267362	0.337372	0.394338	0.434622	0.971373	0.307531	0.680338	0.596590	0.599561	
00010097	0.568824	0.176156	0.908637	0.262736	0.880000	0.324202	0.151651	0.007274	0.448623	0.541060	
00010098	0.469391	0.431186	0.032251	0.283828	0.499520	0.202608	0.422623	0.434385	0.805859	0.337519	
00010099	0.011902	0.475655	0.696358	0.713644	0.568013	0.567275	0.324211	0.606239	0.429598	0.149250	
00010100	0.337123	0.785221	0.208770	0.194145	0.087559	0.483129	0.556407	0.889051	0.218553	0.265215	
00010101	0.162182	0.130652	0.824149	0.580080	0.443955	0.292418	0.184440	0.588870	0.355182	0.669170	
00010102	0.794285	0.051356	0.218232	0.247472	0.704571	0.405151	0.214903	0.750880	0.595623	0.543938	
00010103	0.311215	0.627506	0.099642	0.935907	0.981806	0.502758	0.565262	0.411930	0.631222	0.316287	
00010104	0.528533	0.029088	0.619506	0.564557	0.358108	0.789678	0.908647	0.868756	0.228226	0.847757	
00010105	0.165649	0.136195	0.103815	0.879609	0.115318	0.093268	0.699900	0.650907	0.018411	0.390009	
00010106	0.601982	0.694556	0.799062	0.992676	0.260125	0.201485	0.885462	0.582555	0.671026	0.218118	
00010107	0.262971	0.515679	0.902925	0.946253	0.995280	0.024774	0.743195	0.039382	0.568729	0.087626	
00010108	0.654079	0.542582	0.312513	0.478376	0.837499	0.681364	0.444682	0.627105	0.081950	0.121308	
00010109	0.689215	0.808484	0.281589	0.124994	0.750068	0.735351	0.118603	0.400185	0.955856	0.272319	
00010110	0.748152	0.793686	0.006782	0.064156	0.764551	0.149470	0.939270	0.214193	0.821289	0.830535	
00010111	0.450542	0.501867	0.495872	0.386665	0.975703	0.309903	0.596452	0.463195	0.056694	0.661534	
00010112	0.083821	0.276632	0.988482	0.558246	0.883579	0.331821	0.331013	0.686520	0.958929	0.941320	
00010113	0.228977	0.119665	0.737941	0.922429	0.640914	0.186597	0.293001	0.269891	0.690570	0.949695	
00010114	0.913337	0.886598	0.310720	0.934308	0.904587	0.687619	0.504082	0.694554	0.235262	0.433091	
00010115	0.152378	0.970289	0.600408	0.824812	0.810721	0.564631	0.844781	0.945503	0.512067	0.515028	
00010116	0.825817	0.942526	0.781680	0.183582	0.606039	0.544207	0.945664	0.451036	0.950884	0.057276	
00010117	0.538342	0.638128	0.111533	0.393108	0.857352	0.933550	0.848311	0.272126	0.970568	0.870148	
00010118	0.996135	0.090590	0.579329	0.912782	0.156899	0.031417	0.544018	0.789005	0.772060	0.321853	
00010119	0.078176	0.074708	0.870371	0.534170	0.323413	0.662305	0.520840	0.419508	0.049846	0.494114	
00010120	0.442678	0.182451	0.689776	0.451462	0.506473	0.775173	0.526218	0.611152	0.520956	0.602062	
00010121	0.106653	0.031688	0.242970	0.285597	0.393268	0.647946	0.625083	0.179983	0.576779	0.595974	
00010122	0.961898	0.724936	0.342722	0.622774	0.280707	0.984728	0.278809	0.246855	0.738153	0.303258	
00010123	0.004634	0.144159	0.545440	0.181772	0.888470	0.955027	0.521887	0.887283	0.829056	0.716532	
00010124	0.774910	0.635927	0.067573	0.927146	0.305932	0.750747	0.330242	0.135636	0.651921	0.778208	
00010125	0.817303	0.789848	0.410448	0.713974	0.827063	0.096796	0.275095	0.284500	0.397174	0.989887	
00010126	0.868695	0.566253	0.237511	0.832368	0.183115	0.469069	0.372911	0.233944	0.376636	0.485210	
00010127	0.084436	0.377414	0.488974	0.496483	0.851052	0.104149	0.986322	0.266204	0.056560	0.532673	
00010128	0.399783	0.821586	0.806067	0.963217	0.296071	0.372154	0.753354	0.018369	0.400878	0.679473	
00010129	0.259870	0.304881	0.377848	0.843314	0.031165	0.069776	0.445990	0.105676	0.206968	0.083500	
00010130	0.800068	0.319373	0.517978	0.113898	0.370989	0.911742	0.845778	0.644403	0.804523	0.108138	
00010131	0.431414	0.784980	0.094598	0.936179	0.385176	0.599910	0.501424	0.696519	0.177932	0.425798	
00010132	0.910648	0.503736	0.909095	0.688364	0.856519	0.981303	0.551872	0.991709	0.381374	0.315999	
00010133	0.181847	0.260997	0.207631	0.307112	0.922539	0.912760	0.742759	0.865660	0.263951	0.858600	
00010134	0.263803	0.732476	0.382065	0.860655	0.256756	0.500368	0.272418	0.038371	0.019667	0.520104	
00010135	0.145539	0.162950	0.660280	0.948458	0.578293	0.047345	0.386349	0.700578	0.583354	0.601425	
00010136	0.136069	0.921075	0.758373	0.681841	0.327275	0.694075	0.753610	0.099898	0.232406	0.203919	
00010137	0.869292	0.222223	0.173069	0.563195	0.474590	0.074033	0.493471	0.808866	0.661198	0.761656	
00010138	0.579705	0.083609	0.517380	0.149974	0.743094	0.532360	0.665179	0.070443	0.037396	0.257114	
00010139	0.549860	0.073702	0.995338	0.986210	0.670821	0.631307	0.901870	0.646444	0.162098	0.687706	
00010140	0.144955	0.769552	0.707609	0.815024	0.063891	0.846676	0.334291	0.651089	0.531949	0.633297	
00010141	0.853031	0.817677	0.080567	0.912220	0.901822	0.623685	0.295571	0.703163	0.610186	0.538166	
00010142	0.622055	0.740426	0.043308	0.683966	0.720925	0.075724	0.618101	0.473661	0.543449	0.736580	
00010143	0.350952	0.758249	0.491156	0.303031	0.443295	0.299750	0.182479	0.117508	0.070050	0.920446	
00010144	0.513250	0.961195	0.446596	0.731797	0.172351	0.883229	0.212147	0.794805	0.097116	0.898730	
00010145	0.401808	0.466425	0.486799	0.276210	0.415940	0.733457	0.806353	0.812801	0.793298	0.700780	
00010146	0.075967	0.786996	0.165891	0.615239	0.000716	0.590627	0.108719	0.633557	0.294641	0.732816	
00010147	0.239916	0.422568	0.360657	0.294852	0.546541	0.627892	0.677312	0.322990	0.194488	0.720498	
00010148	0.123319	0.943730	0.880722	0.518275	0.564303	0.759784	0.194885	0.504026	0.185171	0.665055	
00010149	0.183908	0.001314	0.744352	0.738924	0.065067	0.247360	0.371790	0.137874	0.183967	0.323650	
00010150	0.239953	0.981268	0.416771	0.744021	0.386694	0.220996	0.539718	0.401733	0.784071	0.514360	
00010151	0.417267	0.570194	0.907355	0.403459	0.504965	0.281498	0.251138	0.601561	0.522979	0.435807	
00010152	0.049654	0.346471	0.094307	0.160928	0.868573	0.777496	0.719150	0.869602	0.768699	0.062395	
00010153	0.902716	0.557503	0.181326	0.022401	0.748513	0.418112	0.321164	0.063054	0.423602	0.750084	
00010154	0.944787	0.299785	0.946587	0.105879	0.745714	0.108362	0.037639	0.687500	0.803905	0.077392	
00010155	0.490864	0.159073	0.100849	0.931999	0.847937	0.414292	0.811861	0.732602	0.936690	0.161171	
00010156	0.489253	0.665256	0.388038	0.615549	0.237100	0.912228	0.045310	0.112585	0.487981	0.813403	
00010157	0.337719	0.684203	0.289225	0.633284	0.337530	0.563897	0.297524	0.925629	0.364477	0.841865	
00010158	0.900054	0.792409	0.073087	0.006687	0.964131	0.794531	0.303918	0.079306	0.419900	0.231837	
00010159	0.369247	0.348624	0.194608	0.214866	0.143513	0.308250	0.536385	0.091116	0.389491	0.129584	
00010160	0.111203	0.250075	0.417485	0.081003	0.103534	0.095809	0.120199	0.795979	0.663041	0.085131	
00010161	0.780252	0.345003	0.292927	0.161465	0.908646	0.079240	0.795267	0.116119	0.968136	0.203147	
00010162	0.389739	0.328633	0.702139	0.091804	0.115186	0.559236	0.502551	0.005088	0.750795	0.315135	
00010163	0.241691	0.927486	0.239713	0.134133	0.744369	0.359132	0.227985	0.016963	0.593196	0.025350	
00010164	0.403912	0.756072	0.959483	0.071796	0.724665	0.805319	0.831282	0.569122	0.978178	0.768932	
00010165	0.096455	0.288239	0.305462	0.268847	0.122221	0.046511	0.113443	0.960129	0.554487	0.270502	
00010166	0.131973	0.606180	0.154915	0.040067	0.984906	0.627885	0.999325	0.123734	0.755556	0.293757	
00010167	0.942051	0.766029	0.555508	0.744080	0.208144	0.338972	0.758302	0.094230	0.269541	0.280970	
00010168	0.956135	0.846152	0.790544	0.944833	0.249744	0.006290	0.518460	0.654171	0.850364	0.555015	
00010169	0.575209	0.901981	0.443872	0.221361	0.486240	0.920627	0.476625	0.216962	0.609850	0.485291	
00010170	0.059780	0.595707	0.995819	0.600565	0.292744	0.191105	0.272508	0.245064	0.498119	0.748654	
00010171	0.234780	0.068536	0.436587	0.436093	0.716499	0.595906	0.963162	0.181081	0.439435	0.957134	
00010172	0.353159	0.218043	0.304441	0.173561	0.574192	0.803434	0.319447	0.901138	0.188652	0.119801	
00010173	0.821194	0.869408	0.246510	0.194894	0.711025	0.227016	0.452952	0.433824	0.872607	0.794216	
00010174	0.015403	0.414218	0.960825	0.189121	0.100812	0.862346	0.533218	0.456559	0.092992	0.037806	
00010175	0.043024	0.661209	0.222881	0.929892	0.313876	0.894409	0.783380	0.188771	0.761071	0.980023	
00010176	0.168990	0.783485	0.395609	0.490544	0.928287	0.259314	0.412335	0.930519	0.004727	0.507775	
00010177	0.649115	0.247886	0.224525	0.796324	0.892930	0.802910	0.909796	0.795066	0.077202	0.167290	
00010178	0.731722	0.554425	0.270025	0.184799	0.598705	0.344282	0.120651	0.179565	0.128766	0.049733	
00010179	0.647746	0.229585	0.418441	0.227785	0.496647	0.142989	0.872467	0.216069	0.938049	0.268251	
00010180	0.450924	0.006913	0.997736	0.849808	0.825702	0.782330	0.651388	0.792531	0.769388	0.053206	
00010181	0.547009	0.766639	0.911030	0.494287	0.815781	0.881019	0.431496	0.504387	0.546711	0.792507	
00010182	0.296321	0.021833	0.550427	0.985739	0.141203	0.830308	0.137163	0.316987	0.798601	0.191366	
00010183	0.744693	0.393103	0.596336	0.172227	0.604664	0.383631	0.018417	0.074101	0.564513	0.404892	
00010184	0.188955	0.252540	0.079145	0.950103	0.790571	0.197119	0.365739	0.740618	0.902077	0.097945	
00010185	0.686775	0.204217	0.576636	0.382335	0.748586	0.512200	0.017309	0.959586	0.843568	0.798038	
00010186	0.183511	0.662279	0.898172	0.447633	0.009822	0.277808	0.471443	0.028709	0.833722	0.350296	
00010187	0.368485	0.914742	0.463311	0.359891	0.193402	0.103120	0.131659	0.202440	0.198783	0.907526	
00010188	0.625619	0.006903	0.398396	0.144467	0.384793	0.189750	0.844853	0.164492	0.646764	0.195311	
00010189	0.780227	0.746423	0.104461	0.816639	0.438757	0.129547	0.957407	0.205330	0.073502	0.553415	
00010190	0.081126	0.799671	0.652236	0.181711	0.892296	0.240610	0.196130	0.313040	0.895927	0.161313	
00010191	0.929386	0.907799	0.991700	0.832973	0.930286	0.563202	0.737742	0.860124	0.697071	0.212667	
00010192	0.775713	0.974574	0.678073	0.406296	0.602365	0.728274	0.055588	0.508846	0.201221	0.657529	
00010193	0.486792	0.119863	0.428478	0.421451	0.728976	0.756581	0.514494	0.590234	0.630236	0.961943	
00010194	0.435859	0.518970	0.654801	0.533254	0.894365	0.146859	0.118785	0.578114	0.018942	0.748807	
00010195	0.446784	0.821975	0.588746	0.430317	0.361839	0.121084	0.642652	0.465468	0.808551	0.983054	
00010196	0.306349	0.637023	0.745055	0.002421	0.203689	0.166360	0.162659	0.070027	0.016706	0.611282	
00010197	0.508509	0.953910	0.640870	0.664659	0.530281	0.438433	0.061672	0.198499	0.846119	0.583984	
00010198	0.510772	0.946926	0.503676	0.256788	0.927203	0.296908	0.558503	0.400134	0.160226	0.791494	
00010199	0.817628	0.966605	0.938041	0.591923	0.209949	0.542572	0.144378	0.560696	0.712568	0.377554	
00010200	0.794831	0.067344	0.605344	0.357850	0.982018	0.924436	0.368282	0.430865	0.371874	0.786170	
00010201	0.644318	0.437535	0.638924	0.548054	0.416364	0.252576	0.201192	0.465215	0.569406	0.295760	
00010202	0.378609	0.320840	0.702657	0.780689	0.268663	0.599596	0.000180	0.919134	0.955181	0.551797	
00010203	0.811580	0.134052	0.860949	0.558880	0.730739	0.241295	0.810001	0.459980	0.624618	0.918769	
00010204	0.532826	0.134585	0.379662	0.301692	0.534110	0.339136	0.903070	0.218336	0.062761	0.632077	
00010205	0.350727	0.805948	0.712123	0.460615	0.375113	0.664370	0.440653	0.270381	0.205801	0.112768	
00010206	0.939002	0.524764	0.523520	0.920918	0.382406	0.056811	0.365834	0.009429	0.071982	0.170752	
00010207	0.875943	0.944257	0.363489	0.886181	0.217159	0.989177	0.364805	0.821374	0.018303	0.170357	
00010208	0.550156	0.988340	0.434676	0.879474	0.845147	0.903988	0.287875	0.929950	0.538917	0.796273	
00010209	0.622475	0.409894	0.687598	0.970343	0.071739	0.794057	0.835094	0.497144	0.901273	0.268967	
00010210	0.587045	0.371188	0.226851	0.752305	0.362519	0.084792	0.975880	0.658271	0.824824	0.074445	
00010211	0.207742	0.226854	0.979004	0.015543	0.109587	0.928222	0.214291	0.302206	0.436847	0.834008	
00010212	0.301246	0.446031	0.975671	0.992342	0.913581	0.556182	0.666012	0.147000	0.096482	0.125305	
00010213	0.470923	0.266221	0.289514	0.455763	0.040509	0.292185	0.440749	0.233245	0.406813	0.828660	
00010214	0.230488	0.459096	0.338433	0.520498	0.227929	0.012561	0.412788	0.553947	0.384200	0.586630	
00010215	0.844309	0.432905	0.996445	0.088893	0.351238	0.418293	0.846552	0.738022	0.643941	0.498450	
00010216	0.194764	0.259623	0.788971	0.785105	0.890983	0.999462	0.502365	0.170712	0.563290	0.102342	
00010217	0.225922	0.133715	0.794922	0.717694	0.483962	0.673541	0.229018	0.217327	0.194428	0.104853	
00010218	0.170708	0.419228	0.632369	0.545402	0.209413	0.549846	0.712043	0.442027	0.617281	0.485337	
00010219	0.227664	0.506861	0.811451	0.744136	0.318153	0.771955	0.432182	0.628079	0.323093	0.869924	
00010220	0.435699	0.324325	0.448093	0.687323	0.899286	0.319691	0.415946	0.233741	0.873312	0.093968	
00010221	0.311102	0.684689	0.830614	0.611294	0.006987	0.689302	0.931265	0.084456	0.757050	0.691446	
00010222	0.923380	0.443094	0.126663	0.082342	0.173886	0.364838	0.147120	0.352847	0.752059	0.130776	
00010223	0.430207	0.435663	0.513268	0.377002	0.767739	0.073261	0.019838	0.133145	0.540619	0.704801	
00010224	0.184816	0.793024	0.715931	0.404970	0.175571	0.917887	0.424017	0.463797	0.539114	0.461952	
00010225	0.904881	0.815556	0.248146	0.687378	0.507340	0.102759	0.946802	0.094997	0.078321	0.512006	
00010226	0.979748	0.752113	0.531900	0.405015	0.293802	0.748447	0.730770	0.714264	0.345273	0.881543	
00010227	0.438870	0.789256	0.382210	0.554467	0.873250	0.784292	0.311909	0.367435	0.693639	0.037473	
00010228	0.111119	0.501267	0.801761	0.618265	0.823484	0.353137	0.155075	0.763047	0.274690	0.856527	
00010229	0.258065	0.555182	0.670861	0.417462	0.998822	0.021157	0.989113	0.475516	0.143385	0.384813	
00010230	0.408720	0.630750	0.982859	0.844879	0.374543	0.016422	0.852899	0.567745	0.616098	0.132114	
00010231	0.594896	0.097989	0.936821	0.551510	0.508095	0.338993	0.673597	0.280743	0.547723	0.665431	
00010232	0.262212	0.245676	0.576272	0.813150	0.748499	0.720457	0.269521	0.150585	0.098374	0.274028	
00010233	0.602843	0.615725	0.080186	0.315395	0.399915	0.901398	0.902550	0.220904	0.689295	0.417285	
00010234	0.711216	0.304960	0.413825	0.859363	0.931655	0.473656	0.265706	0.668555	0.311157	0.425298	
00010235	0.221747	0.766968	0.180845	0.217365	0.427686	0.055742	0.853652	0.255422	0.914853	0.805274	
00010236	0.117418	0.267229	0.995631	0.115356	0.042219	0.407768	0.419129	0.102232	0.779510	0.712187	
00010237	0.296676	0.039506	0.520386	0.085872	0.157553	0.335756	0.085687	0.671490	0.537806	0.126744	
00010238	0.318778	0.296562	0.885283	0.154633	0.361352	0.304103	0.935458	0.189572	0.402242	0.765403	
00010239	0.424167	0.556365	0.648252	0.802180	0.058854	0.296485	0.823568	0.364700	0.805398	0.524902	
00010240	0.507858	0.969074	0.466254	0.964472	0.843360	0.971418	0.932453	0.543546	0.168804	0.742585	
00010241	0.085516	0.689125	0.095281	0.196792	0.889984	0.575293	0.637031	0.100167	0.742506	0.350043	
00010242	0.262482	0.717881	0.967821	0.778050	0.058894	0.237375	0.986515	0.544946	0.285577	0.996476	
00010243	0.801015	0.559029	0.620111	0.026483	0.202493	0.911664	0.629252	0.514837	0.244069	0.522257	
00010244	0.029220	0.533354	0.156003	0.113879	0.087370	0.037761	0.429087	0.615301	0.262482	0.780022	
00010245	0.928854	0.875724	0.398367	0.186623	0.573073	0.557034	0.277017	0.159030	0.366229	0.028379	
00010246	0.730331	0.393099	0.882505	0.925405	0.436990	0.674468	0.829330	0.271924	0.899091	0.242572	
00010247	0.488609	0.458067	0.539014	0.549710	0.088812	0.932526	0.929461	0.793912	0.848973	0.714702	
00010248	0.578525	0.208245	0.543676	0.031173	0.775723	0.988483	0.954576	0.436098	0.511741	0.436044	
00010249	0.237284	0.757273	0.442453	0.876555	0.733927	0.172388	0.166917	0.133764	0.106667	0.491148	
00010250	0.458849	0.546692	0.183745	0.950212	0.145227	0.002981	0.180367	0.272849	0.597546	0.186126	
00010251	0.963089	0.357388	0.249231	0.482801	0.615829	0.123207	0.947705	0.657009	0.561055	0.242588	
00010252	0.546806	0.700998	0.285112	0.432901	0.798207	0.164285	0.632071	0.502371	0.008566	0.069384	
00010253	0.521136	0.109222	0.529510	0.619808	0.820231	0.571671	0.546436	0.387581	0.517907	0.920384	
